epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.233,1.65183,4.51583,1.42066,0.1221,0.1882,0.09413,0.06047,1.48894,2.79717,1.17896,0.00033256,3.3256e-05,3.3256e-05
2,353.577,1.50892,3.05802,1.27271,0.23274,0.28035,0.17483,0.12323,1.37167,2.38351,1.14806,0.000665731,6.65731e-05,6.65731e-05
3,529.117,1.46447,2.65615,1.24342,0.30331,0.31911,0.2454,0.1665,1.40586,2.127,1.16521,0.000998251,9.98251e-05,9.98251e-05
4,704.14,1.46252,2.41754,1.24016,0.40828,0.36451,0.33326,0.22376,1.41936,1.91347,1.15504,0.000997803,9.97803e-05,9.97803e-05
5,879.366,1.43962,2.22634,1.2156,0.48561,0.39783,0.37054,0.24947,1.36953,1.77112,1.1288,0.000996097,9.96097e-05,9.96097e-05
6,1054.5,1.42708,2.08696,1.20806,0.50769,0.43255,0.42016,0.27805,1.39453,1.67944,1.14061,0.000993906,9.93906e-05,9.93906e-05
7,1230.74,1.41424,1.98366,1.20011,0.54993,0.43609,0.45376,0.30106,1.40386,1.58394,1.14695,0.000991232,9.91232e-05,9.91232e-05
8,1405.63,1.39234,1.86901,1.18879,0.5964,0.44602,0.48288,0.32849,1.35041,1.51421,1.13239,0.000988079,9.88079e-05,9.88079e-05
9,1580.66,1.383,1.79188,1.18163,0.63987,0.48874,0.52429,0.3714,1.2808,1.39795,1.09993,0.000984449,9.84449e-05,9.84449e-05
10,1755.75,1.37344,1.72312,1.16954,0.62061,0.48809,0.52918,0.37346,1.26306,1.35345,1.0918,0.000980345,9.80345e-05,9.80345e-05
11,1930.44,1.38329,1.6714,1.17165,0.64288,0.52165,0.55084,0.37869,1.33222,1.32794,1.11473,0.000975773,9.75773e-05,9.75773e-05
12,2105.27,1.35593,1.59923,1.15718,0.69773,0.52005,0.57074,0.39233,1.30221,1.28993,1.10193,0.000970736,9.70736e-05,9.70736e-05
13,2280.42,1.35706,1.55308,1.15817,0.69568,0.54118,0.58563,0.40242,1.30928,1.22879,1.0977,0.000965239,9.65239e-05,9.65239e-05
14,2455.51,1.3354,1.50093,1.14758,0.67675,0.5624,0.59364,0.41038,1.28423,1.20553,1.09618,0.000959289,9.59289e-05,9.59289e-05
15,2630.27,1.32198,1.46536,1.14314,0.70831,0.57204,0.61354,0.42721,1.28328,1.14436,1.09275,0.000952889,9.52889e-05,9.52889e-05
16,2805.71,1.30985,1.43053,1.13608,0.70546,0.57745,0.61822,0.43376,1.22716,1.11723,1.06171,0.000946048,9.46048e-05,9.46048e-05
